Name,APIName__c,IntegrationName__c,DataType__c,JSONPath__c,ParentObject__c,ParentField__c,Object__c,Field__c,DefaultValue__c
CU_Transactions_Loans_Contacts,CloserXchange.V2.TransactionContact,Closer Update,DT_ARRAY_OBJECT,Transactions.Loans.Contacts,Opportunity_Contact__c,Opportunity__c,Opportunity_Contact__c,Contact__c,Contacts
CU_Transactions_Loans,CloserXchange.V2.Loan,Closer Update,DT_ARRAY_OBJECT,Transactions.Loans,Opportunity,Id,Opportunity,Id,Loans
CU_Transactions_Loans_FundingDate,CloserXchange.V2.Loan,Closer Update,DT_VALUE,Transactions.Loans.FundingDate,,,Opportunity,Closing_Date__c,
CU_Transactions_Loans_Roles,CloserXchange.V2.TransactionContact.Roles,Closer Update,DT_ARRAY,Transactions.Loans.Contacts.Roles,Opportunity_Contact__c,Opportunity__c,Opportunity_Contact__c,Id,Roles
CU_Transactions_Loans_RequestedLoanAmt,CloserXchange.V2.Loan,Closer Update,DT_VALUE,Transactions.Loans.RequestedLoanAmount,,,,,1000
CU_Contacts_LastName,CloserXchange.V2.Contacts,Closer Update,DT_VALUE,Contacts.LastName,Opportunity_Contact__c,Opportunity__c,Contact,LastName,
CU_Transactions_Loans_Role,CloserXchange.V2.TransactionContact.Roles,Closer Update,DT_VALUE,Transactions.Loans.Contacts.Roles.Value,Opportunity_Contact__c,Id,Opportunity_Contact__c,Role__c,
CU_Transactions_Loans_Property_YrsBuilt,CloserXchange.V2.Property,Closer Update,DT_VALUE,Transactions.Loans.Properties.YearsBuilt,,,Property__c,Year_Built__c,
CU_Transactions_Loans_PreviousLoanNumber,CloserXchange.V2.Loan,Closer Update,DT_VALUE,Transactions.Loans.PreviousLoanNumber,,,Opportunity,Existing_GSC_Loan_Number__c,
CU_Transactions_Loans_Prop_Addr_County,CloserXchange.V2.Address,Closer Update,DT_VALUE,Transactions.Loans.Address.County,,,Property__c,County__c,
CU_Transactions_TransactionName,CloserXchange.V2.Transaction,Closer Update,DT_VALUE,Transactions.TransactionName,,,Opportunity,Name,
CU_Transactions_Loans_OriginalBalance,CloserXchange.V2.Loan,Closer Update,DT_VALUE,Transactions.Loans.OriginalBalance,,,Opportunity,Loan_Amount_Closed__c,
CU_Contacts_Identifier,CloserXchange.V2.Contacts,Closer Update,DT_VALUE,Contacts.Identifier,Opportunity_Contact__c,Opportunity__c,Contact,GUID__c,
CU_Transactions_Loans_LoanPurposeCd,CloserXchange.V2.Loan,Closer Update,DT_VALUE,Transactions.Loans.LoanPurposeCd,,,Opportunity,Closer_LoanPurposeCd__c,
CU_Transactions_Loans_Prop_Addr_Country,CloserXchange.V2.Address,Closer Update,DT_VALUE,Transactions.Loans.Address.Country,,,,,US
CU_Transactions_Loans_MaximumLTV,CloserXchange.V2.Loan,Closer Update,DT_VALUE,Transactions.Loans.MaximumLTV,,,,,1000
CU_Transactions_Loans_Contacts_Id,CloserXchange.V2.TransactionContact,Closer Update,DT_VALUE,Transactions.Loans.Contacts.Identifier,,,Contact,GUID__c,
CU_Contacts_Roles,CloserXchange.V2.Contacts.Roles,Closer Update,DT_ARRAY,Contacts.Roles,Opportunity_Contact__c,Opportunity__c,Opportunity_Contact__c,Id,Roles
CU_Transactions_Loans_Status_WfStatusCd,CloserXchange.V2.Status,Closer Update,DT_VALUE,Transactions.Loans.Status.WorkflowStatusCd,,,,,INQ
CU_Transactions_Loans_Property_PropType,CloserXchange.V2.Property,Closer Update,DT_VALUE,Transactions.Loans.Properties.PropertyTypeCd,,,Property__c,Closer_PropertyTypeCd__c,
CU_Entities_Role,CloserXchange.V2.Entity.Roles,Closer Update,DT_VALUE,Entities.Roles.Value,Opportunity_Entity__c,Opportunity__c,Opportunity_Entity__c,Role__c,
CU_Transactions_Loans_Prop_Addr_Address,CloserXchange.V2.Address,Closer Update,DT_VALUE,Transactions.Loans.Address.Address,,,Property__c,Street__c,
CU_Entities_Identifier,CloserXchange.V2.Entity,Closer Update,DT_VALUE,Entities.PartyIdentifier,Opportunity_Entity__c,Opportunity__c,Account,GUID__c,
